Name,Time,Details,Status,Time Status
dorado_silicon_ci_func_ubuntu_op_benchmark_6_batchnormal_test,4.48,Completed (Failed),Failed,Passed
dorado_silicon_ci_func_ubuntu_op_benchmark_58_resize_test,1.03,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_tops_graph_compiler_7_tops_graph_compiler_dorado,16.48,Completed (Failed),Failed,Passed
dorado_cpu_daily_func_ubuntu_inference_capi_10_topsinference_target_nocard_test,0.01,Completed (Failed),Failed,Passed
dorado_cpu_daily_func_ubuntuhost_inference_capi_10_topsinference_target_nocard_test,0.01,Completed (Failed),Failed,Passed
dorado_cpu_daily_func_ubuntu1804_inference_capi_10_topsinference_target_nocard_test,0.01,Completed (Failed),Failed,Passed
dorado_cpu_daily_func_ubuntu2004_inference_capi_10_topsinference_target_nocard_test,0.01,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_4_system_test_runtime_efrt_extension_test,1.24,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_6_system_test_runtime_efrt_multi_device_test,0.13,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_8_system_test_runtime_efrt_multi_thread_multi_device_test,0.13,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_7_system_test_runtime_efrt_multi_thread_test,0.14,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_22_system_test_runtime_efrt_topsdrivergetversion_test,1.2,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_21_system_test_runtime_efrt_topsruntimegetversion_test,1.19,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_28_system_test_runtime_efrt_topshostmallocfree_test,1.96,Completed (SEGFAULT),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_41_system_test_runtime_efrt_multi_threadv2_test,0.3,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_39_system_test_runtime_efrt_constbuffer_test,1.2,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_40_system_test_runtime_efrt_extensionv2_test,1.22,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_43_system_test_runtime_efrt_resnet50v15op13fp32_test,0.13,Completed (Failed),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_44_system_test_runtime_efrt_scatter_memory_test,2.5,Completed (SEGFAULT),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_47_system_test_runtime_efrt_multi_thread_multi_device_tl_test,2.33,Completed (Subprocess aborted),Failed,Passed
dorado_silicon_daily_func_ubuntu_runtime_48_system_test_runtime_efrt_multi_thread_tl_test,1.98,Completed (Subprocess aborted),Failed,Passed
